,nbexp,compil-option,type,result
,10000,,float,
,10000,,long double,
,10000,,double,
,10000,-O2 -ffloat-store -fno-fast-math,float,
,10000,-O2 -ffloat-store -fno-fast-math,long double,
,10000,-O2 -ffloat-store -fno-fast-math,double,
,1000,,float,
,1000,,long double,
,1000,,double,
,1000,-O2 -ffloat-store -fno-fast-math,float,
,1000,-O2 -ffloat-store -fno-fast-math,long double,
,1000,-O2 -ffloat-store -fno-fast-math,double,
,1000,,float,
,1000,,long double,
,1000,,double,
,1000,-O2 -ffloat-store -fno-fast-math,float,
,1000,-O2 -ffloat-store -fno-fast-math,long double,
,1000,-O2 -ffloat-store -fno-fast-math,double,
,100000,,float,
,100000,,long double,
,100000,,double,
,100000,-O2 -ffloat-store -fno-fast-math,float,
,100000,-O2 -ffloat-store -fno-fast-math,long double,
,100000,-O2 -ffloat-store -fno-fast-math,double,
,100000,,float,
,100000,,long double,
,100000,,double,
,100000,-O2 -ffloat-store -fno-fast-math,float,
,100000,-O2 -ffloat-store -fno-fast-math,long double,
,100000,-O2 -ffloat-store -fno-fast-math,double,
